name,id,state,min_temp,max_temp,precipitation,month
Abadia de Goiás,4977,Goiás,12°,29°,0 mm,May
Abadia dos Dourados,4102,Minas Gerais,14°,26°,0 mm,May
Abadiânia,4793,Goiás,14°,27°,0 mm,May
Abaetetuba,1191,Pará,24°,33°,9 mm,May
Abaeté,95,Minas Gerais,14°,26°,0 mm,May
Abaiara,5794,Ceará,19°,31°,0 mm,May
Abarracamento,3160,Rio de Janeiro,16°,24°,0 mm,May
Abaré,5746,Bahia,21°,29°,0 mm,May
Abatiá,4208,Paraná,15°,26°,0 mm,May
Abaíra,5006,Bahia,16°,23°,0 mm,May
Abdon Batista,4542,Santa Catarina,12°,24°,0 mm,May
Abel Figueiredo,6422,Pará,24°,30°,2 mm,May
Abelardo Luz,3412,Santa Catarina,13°,25°,0 mm,May
Abrantes,6949,Bahia,26°,27°,27 mm,May
Abraão,3161,Rio de Janeiro,17°,26°,0 mm,May
Abre Campo,3569,Minas Gerais,16°,25°,0 mm,May
Abreu e Lima,761,Pernambuco,20°,29°,8 mm,May
Abreulândia,6516,Tocantins,22°,36°,0 mm,May
Acaiaca,3570,Minas Gerais,15°,27°,0 mm,May
Acajutiba,5137,Bahia,23°,28°,2 mm,May
Acarape,5795,Ceará,22°,29°,4 mm,May
Acaraú,957,Ceará,24°,33°,4 mm,May
Acari,1363,Rio Grande do Norte,23°,32°,2 mm,May
Acará,1192,Pará,24°,31°,12 mm,May
Acauã,5077,Piauí,21°,32°,0 mm,May
Aceguá,4880,Rio Grande do Sul,13°,23°,0 mm,May
Acopiara,958,Ceará,21°,30°,0 mm,May
Acorizal,5466,Mato Grosso,20°,34°,0 mm,May
Acrelândia,6377,Acre,20°,33°,0 mm,May
Acreúna,1004,Goiás,16°,30°,0 mm,May
Adamantina,387,São Paulo,18°,28°,0 mm,May
Adelândia,5382,Goiás,15°,31°,0 mm,May
Adolfo,2190,São Paulo,16°,29°,0 mm,May
Adrianópolis,4209,Paraná,19°,28°,0 mm,May
Adustina,2172,Bahia,21°,28°,0 mm,May
Afogados da Ingazeira,2044,Pernambuco,20°,26°,2 mm,May
Afonso Arinos,3162,Rio de Janeiro,15°,24°,0 mm,May
Afonso Bezerra,5579,Rio Grande do Norte,22°,34°,3 mm,May
Afonso Cláudio,2032,Espírito Santo,14°,22°,0 mm,May
Afonso Cunha,6580,Maranhão,22°,33°,2 mm,May
Afrânio,4761,Pernambuco,19°,31°,0 mm,May
Afuá,225,Pará,23°,29°,27 mm,May
Agissê,6782,São Paulo,18°,28°,0 mm,May
Agrestina,5908,Pernambuco,22°,28°,5 mm,May
Agricolândia,6637,Piauí,20°,31°,2 mm,May
Agrolândia,4543,Santa Catarina,12°,20°,1 mm,May
Agronômica,4544,Santa Catarina,13°,21°,0 mm,May
Aguanil,3571,Minas Gerais,11°,24°,0 mm,May
Aguaí,388,São Paulo,12°,26°,0 mm,May
Agudo,3379,Rio Grande do Sul,9°,24°,0 mm,May
Agudos,389,São Paulo,14°,26°,0 mm,May
Agudos do Sul,4210,Paraná,14°,21°,1 mm,May
Aguiar,6005,Paraíba,20°,32°,0 mm,May
Aguiarnópolis,6517,Tocantins,20°,33°,0 mm,May
Agulhas Negras,3163,Rio de Janeiro,15°,25°,0 mm,May
Aimorés,97,Minas Gerais,17°,25°,15 mm,May
Aiquara,2029,Bahia,20°,26°,0 mm,May
Aiuaba,5796,Ceará,20°,31°,0 mm,May
Aiuruoca,4798,Minas Gerais,10°,23°,0 mm,May
Ajapi,5378,São Paulo,12°,26°,0 mm,May
Ajuricaba,2930,Rio Grande do Sul,15°,27°,0 mm,May
Alagoa,729,Minas Gerais,9°,23°,0 mm,May
Alagoa Grande,1222,Paraíba,20°,30°,2 mm,May
Alagoa Nova,6006,Paraíba,17°,26°,2 mm,May
Alagoinha,5368,Pernambuco,19°,25°,5 mm,May
Alagoinha do Piauí,6218,Piauí,21°,32°,0 mm,May
Alagoinhas,884,Bahia,22°,27°,2 mm,May
Alambari,2191,São Paulo,14°,24°,0 mm,May
Albertina,3572,Minas Gerais,9°,22°,0 mm,May
Alberto Torres,6909,Rio de Janeiro,15°,25°,0 mm,May
Albuquerque,1108,Mato Grosso do Sul,20°,31°,0 mm,May
Alcantil,6007,Paraíba,17°,26°,2 mm,May
Alcantilado,1157,Mato Grosso,15°,31°,0 mm,May
Alcinópolis,2759,Mato Grosso do Sul,17°,30°,0 mm,May
Alcobaça,885,Bahia,25°,26°,11 mm,May
Alcântara,5632,Maranhão,23°,31°,17 mm,May
Alcântaras,5797,Ceará,17°,29°,2 mm,May
Aldeia da Serra,4776,São Paulo,13°,22°,0 mm,May
Aldeias Altas,6581,Maranhão,22°,33°,2 mm,May
Alecrim,2931,Rio Grande do Sul,15°,28°,0 mm,May
Alegre,62,Espírito Santo,17°,26°,0 mm,May
Alegrete,1376,Rio Grande do Sul,14°,27°,2 mm,May
Alegrete do Piauí,5326,Piauí,21°,32°,0 mm,May
Alegria,2932,Rio Grande do Sul,14°,27°,0 mm,May
Alenquer,226,Pará,24°,31°,10 mm,May
Alexandra,1298,Paraná,16°,23°,0 mm,May
Alexandria,5580,Rio Grande do Norte,20°,31°,0 mm,May
Alexandrita,6809,Minas Gerais,16°,30°,0 mm,May
Alexânia,4757,Goiás,14°,27°,0 mm,May
Alfenas,98,Minas Gerais,11°,25°,0 mm,May
Alfredo Chaves,3367,Espírito Santo,15°,27°,5 mm,May
Alfredo Marcondes,2192,São Paulo,17°,28°,0 mm,May
Alfredo Vasconcelos,3573,Minas Gerais,9°,19°,0 mm,May
Alfredo Wagner,4545,Santa Catarina,9°,20°,0 mm,May
Algodoal,6974,Pará,24°,31°,11 mm,May
Algodão de Jandaíra,6008,Paraíba,18°,27°,2 mm,May
Alhandra,6009,Paraíba,21°,29°,5 mm,May
Aliança,5556,Pernambuco,19°,28°,8 mm,May
Aliança do Tocantins,6518,Tocantins,21°,35°,0 mm,May
Almadina,5238,Bahia,20°,26°,0 mm,May
